date,precipitation (mm),sunshine (min),mean temperature (Â°C)
1915-05-01,213.3,70774.0,15.7
1916-05-01,210.4,67496.0,14.8
1917-05-01,246.4,74086.0,16.7
1918-05-01,271.1,77064.0,15.8
1919-05-01,124.4,83162.0,16.4
1920-05-01,220.4,71911.0,16.5
1921-05-01,150.7,79277.0,17.6
1922-05-01,283.2,71979.0,15.6
1923-05-01,177.7,76254.0,16.0
1924-05-01,246.9,67153.0,15.4
1925-05-01,203.3,72932.0,15.6
1926-05-01,276.2,70008.0,15.4
1927-05-01,363.4,65426.0,15.8
1928-05-01,229.8,74101.0,16.7
1929-05-01,256.6,77486.0,16.9
1930-05-01,295.3,62370.0,16.1
1931-05-01,252.9,63898.0,15.6
1932-05-01,240.9,61965.0,16.5
1933-05-01,236.2,72731.0,16.4
1934-05-01,206.0,71191.0,17.1
1935-05-01,227.9,82435.0,16.6
1936-05-01,244.5,61176.0,16.0
1937-05-01,182.1,68594.0,17.0
1938-05-01,259.9,65254.0,16.4
1939-05-01,209.5,59895.0,15.6
1940-05-01,269.3,70226.0,15.9
1941-05-01,185.5,72126.0,15.6
1942-05-01,214.9,73727.0,17.0
1943-05-01,185.8,73334.0,17.3
1944-05-01,195.2,72108.0,16.9
1945-05-01,230.1,79705.0,17.4
1946-05-01,343.6,68768.0,16.3
1947-05-01,152.3,81077.0,18.7
1948-05-01,269.0,67947.0,15.9
1949-05-01,213.0,78593.0,17.4
1950-05-01,216.0,77214.0,17.7
1951-05-01,223.5,69126.0,16.4
1952-05-01,225.2,80496.0,17.2
1953-05-01,232.4,70385.0,16.9
1954-05-01,289.5,66767.0,15.7
1955-05-01,237.1,68845.0,15.9
1956-05-01,319.2,67933.0,15.9
1957-05-01,259.7,65689.0,15.5
1958-05-01,277.9,72095.0,17.1
1959-05-01,211.3,77189.0,17.4
1960-05-01,331.0,69763.0,16.0
1961-05-01,188.4,75823.0,16.9
1962-05-01,122.4,83208.0,16.7
1963-05-01,235.9,67790.0,16.2
1964-05-01,211.4,76386.0,17.3
1965-05-01,381.7,63945.0,15.2
1966-05-01,164.1,72887.0,16.5
1967-05-01,238.8,71119.0,16.7
1968-05-01,279.8,69798.0,15.9
1969-05-01,279.0,70805.0,16.4
1970-05-01,200.1,75797.0,16.9
1971-05-01,260.8,74834.0,17.0
1972-05-01,134.1,66421.0,15.4
1973-05-01,267.5,69893.0,17.1
1974-05-01,328.4,69045.0,16.0
1975-05-01,192.9,66857.0,16.7
1976-05-01,170.3,76126.0,17.0
1977-05-01,199.2,64408.0,15.6
1978-05-01,226.6,64946.0,15.0
1979-05-01,197.6,73344.0,16.0
1980-05-01,254.9,61517.0,15.4
1981-05-01,211.5,59875.0,16.3
1982-05-01,218.2,67371.0,17.1
1983-05-01,260.5,65107.0,17.1
1984-05-01,222.9,64036.0,15.5
1985-05-01,320.8,78145.0,16.5
1986-05-01,257.8,71575.0,17.1
1987-05-01,289.8,63083.0,16.4
1988-05-01,183.0,69080.0,17.2
1989-05-01,158.0,75524.0,17.5
1990-05-01,341.9,75677.0,17.4
1991-05-01,199.8,78737.0,17.6
1992-05-01,227.4,68034.0,18.0
1993-05-01,297.8,68509.0,17.6
1994-05-01,345.5,67870.0,18.0
1995-05-01,302.1,69411.0,17.0
1996-05-01,229.7,70951.0,16.7
1997-05-01,310.4,71518.0,17.5
1998-05-01,198.0,71361.0,18.0
1999-05-01,373.8,66336.0,18.1
2000-05-01,198.9,73449.0,18.1
2001-05-01,284.4,72730.0,17.4
2002-05-01,309.1,67819.0,17.4
2003-05-01,221.5,81929.0,19.9
2004-05-01,219.1,74874.0,17.8
2005-05-01,256.8,72336.0,18.1
2006-05-01,236.0,72227.0,18.5
2007-05-01,473.2,68103.0,17.3
2008-05-01,231.6,72232.0,18.1
2009-05-01,184.1,77088.0,18.8
2010-05-01,281.8,68470.0,17.6
2011-05-01,223.0,75649.0,18.3
2012-05-01,251.4,75523.0,18.4
2013-05-01,233.0,72727.0,17.6
2014-05-01,259.5,65288.0,17.5
2015-05-01,275.5,76157.0,18.9
2016-05-01,206.9,73413.0,18.5
2017-05-01,242.7,74352.0,18.9
2018-05-01,190.3,80837.0,20.0
2019-05-01,266.9,76878.0,18.8
2020-05-01,249.7,77153.0,18.6
2021-05-01,376.1,70743.0,17.6
2022-05-01,194.6,83436.0,20.2
2023-05-01,231.8,77947.0,19.9
2024-05-01,279.3,67714.0,18.5
2025-05-01,245.7,75363.0,19.0
