date,winter total precipitation (mm),winter mean temperature (Â°C)
1914-10-01,397.4,-2.5
1915-10-01,453.0,-1.8
1916-10-01,483.9,-3.5
1917-10-01,368.2,-3.1
1918-10-01,505.3,-2.7
1919-10-01,586.6,-2.3
1920-10-01,224.1,-1.5
1921-10-01,471.8,-2.2
1922-10-01,441.9,-2.7
1923-10-01,465.8,-2.7
1924-10-01,216.4,-1.7
1925-10-01,417.3,-1.5
1926-10-01,496.6,-1.8
1927-10-01,368.0,-1.2
1928-10-01,426.1,-3.8
1929-10-01,275.7,-1.1
1930-10-01,426.6,-2.9
1931-10-01,313.0,-3.2
1932-10-01,309.5,-2.0
1933-10-01,307.0,-2.4
1934-10-01,654.1,-2.6
1935-10-01,549.9,-1.4
1936-10-01,514.8,-2.5
1937-10-01,328.9,-2.9
1938-10-01,339.1,-1.6
1939-10-01,600.8,-2.8
1940-10-01,325.4,-3.3
1941-10-01,319.2,-3.2
1942-10-01,406.7,-1.3
1943-10-01,371.8,-2.8
1944-10-01,683.9,-3.2
1945-10-01,395.6,-1.9
1946-10-01,297.8,-2.2
1947-10-01,628.9,-0.9
1948-10-01,315.2,-1.4
1949-10-01,455.4,-1.7
1950-10-01,577.9,-2.7
1951-10-01,383.7,-1.6
1952-10-01,478.0,-3.4
1953-10-01,377.2,-1.7
1954-10-01,563.5,-2.1
1955-10-01,324.6,-3.5
1956-10-01,321.9,-1.8
1957-10-01,365.8,-2.3
1958-10-01,377.8,-1.2
1959-10-01,327.2,-1.4
1960-10-01,472.2,-0.8
1961-10-01,453.7,-2.1
1962-10-01,330.8,-3.7
1963-10-01,309.9,-1.5
1964-10-01,448.8,-2.9
1965-10-01,471.1,-1.5
1966-10-01,530.2,-2.0
1967-10-01,513.7,-1.6
1968-10-01,310.6,-1.5
1969-10-01,546.0,-2.8
1970-10-01,354.3,-1.9
1971-10-01,231.7,-0.3
1972-10-01,359.0,-2.3
1973-10-01,500.5,-1.0
1974-10-01,507.0,-2.0
1975-10-01,253.1,-1.5
1976-10-01,574.9,-1.2
1977-10-01,434.9,-1.2
1978-10-01,399.2,-1.5
1979-10-01,590.9,-1.5
1980-10-01,566.5,-2.2
1981-10-01,504.9,-2.2
1982-10-01,477.6,-1.2
1983-10-01,392.0,-2.4
1984-10-01,342.8,-1.7
1985-10-01,407.0,-2.2
1986-10-01,418.1,-1.8
1987-10-01,442.7,-0.5
1988-10-01,399.8,0.1
1989-10-01,449.0,0.2
1990-10-01,274.8,-1.3
1991-10-01,553.8,-1.6
1992-10-01,418.7,-0.9
1993-10-01,499.3,-0.9
1994-10-01,488.6,-0.5
1995-10-01,201.0,-0.8
1996-10-01,470.1,-0.5
1997-10-01,364.9,-0.4
1998-10-01,639.1,-2.0
1999-10-01,536.2,-1.3
2000-10-01,564.5,-0.2
2001-10-01,370.3,-0.5
2002-10-01,484.3,-1.0
2003-10-01,497.4,-1.2
2004-10-01,287.8,-1.5
2005-10-01,358.2,-2.1
2006-10-01,328.2,1.6
2007-10-01,460.3,-1.3
2008-10-01,472.8,-1.5
2009-10-01,354.2,-1.8
2010-10-01,283.2,-0.7
2011-10-01,622.7,-0.9
2012-10-01,415.4,-1.1
2013-10-01,431.0,0.4
2014-10-01,459.7,0.2
2015-10-01,414.3,0.5
2016-10-01,365.0,-0.2
2017-10-01,599.0,-0.9
2018-10-01,684.7,-0.2
2019-10-01,563.1,1.0
2020-10-01,455.8,-0.9
2021-10-01,319.5,-0.5
2022-10-01,378.4,0.6
2023-10-01,690.0,1.0
2024-10-01,237.5,1.0
