year-month,total precipitation (mm),mean temperature (Â°C)
1914-10,42.9,8.1
1914-11,60.3,2.4
1914-12,36.9,1.7
1915-01,70.0,-1.7
1915-02,17.3,0.4
1915-03,25.9,4.4
1915-04,57.0,7.5
1915-05,15.6,15.5
1915-06,27.2,18.0
1915-07,89.4,16.7
1915-08,40.6,16.1
1915-09,40.5,12.0
1915-10,4.6,6.7
1915-11,40.7,0.6
1915-12,94.2,2.5
1916-01,30.4,0.7
1916-02,97.6,1.7
1916-03,37.1,5.2
1916-04,50.3,9.1
1916-05,45.8,14.0
1916-06,67.1,14.4
1916-07,32.8,17.0
1916-08,44.3,16.6
1916-09,20.4,11.9
1916-10,35.8,8.6
1916-11,34.9,3.2
1916-12,114.7,-0.5
1917-01,26.3,-3.4
1917-02,1.9,-1.9
1917-03,33.5,2.5
1917-04,21.4,6.1
1917-05,25.3,15.8
1917-06,50.1,18.2
1917-07,79.7,17.6
1917-08,70.3,16.1
1917-09,21.0,15.7
1917-10,108.1,6.4
1917-11,45.2,1.4
1917-12,3.7,-2.6
1918-01,49.8,-0.9
1918-02,2.0,1.3
1918-03,41.1,4.4
1918-04,22.7,9.1
1918-05,9.7,15.3
1918-06,85.7,14.7
1918-07,21.8,18.1
1918-08,53.3,17.3
1918-09,100.6,13.6
1918-10,25.2,7.0
1918-11,37.4,3.3
1918-12,210.6,0.5
1919-01,36.3,-0.9
1919-02,78.7,0.0
1919-03,68.1,4.6
1919-04,42.0,6.1
1919-05,19.1,13.8
1919-06,45.5,17.0
1919-07,32.9,15.4
1919-08,12.4,19.8
1919-09,14.5,15.8
1919-10,25.6,5.4
1919-11,90.3,1.4
1919-12,139.2,-0.2
1920-01,67.6,1.9
1920-02,2.6,3.5
1920-03,41.0,7.1
1920-04,29.1,9.8
1920-05,26.9,16.2
1920-06,43.6,16.5
1920-07,37.4,18.7
1920-08,35.5,16.6
1920-09,77.0,14.3
1920-10,2.6,9.9
1920-11,0.1,4.7
1920-12,16.5,-1.3
1921-01,19.8,2.0
1921-02,8.5,1.1
1921-03,9.8,6.8
1921-04,14.4,8.6
1921-05,27.9,15.1
1921-06,19.0,17.9
1921-07,8.0,21.1
1921-08,60.9,18.0
1921-09,34.9,15.8
1921-10,5.9,11.4
1921-11,22.2,1.2
1921-12,11.9,-0.5
1922-01,130.1,-1.9
1922-02,52.4,1.1
1922-03,41.2,5.9
1922-04,167.8,6.3
1922-05,16.5,15.9
1922-06,47.0,17.1
1922-07,82.9,16.7
1922-08,85.8,16.8
1922-09,51.0,11.3
1922-10,43.8,7.4
1922-11,100.4,1.0
1922-12,69.0,-1.5
1923-01,13.5,-3.4
1923-02,48.9,1.9
1923-03,17.6,5.6
1923-04,15.7,9.7
1923-05,66.4,13.3
1923-06,16.6,13.9
1923-07,27.2,20.9
1923-08,39.9,18.4
1923-09,27.6,13.4
1923-10,93.7,10.0
1923-11,62.7,3.9
1923-12,173.5,-1.1
1924-01,13.9,-1.8
1924-02,4.4,-1.2
1924-03,23.2,5.1
1924-04,60.9,9.2
1924-05,64.0,14.2
1924-06,46.0,16.6
1924-07,33.8,18.0
1924-08,52.6,14.5
1924-09,50.5,13.8
1924-10,91.7,8.5
1924-11,14.4,3.9
1924-12,8.8,-0.1
1925-01,7.2,0.8
1925-02,32.6,2.6
1925-03,2.9,2.7
1925-04,43.5,9.3
1925-05,25.9,13.5
1925-06,13.2,18.2
1925-07,40.8,17.8
1925-08,67.4,16.7
1925-09,56.0,11.6
1925-10,10.0,9.5
1925-11,42.6,1.4
1925-12,144.8,-2.3
1926-01,63.6,-0.4
1926-02,42.6,5.5
1926-03,47.2,5.9
1926-04,59.8,9.9
1926-05,104.2,11.8
1926-06,46.6,14.3
1926-07,40.5,17.5
1926-08,43.5,17.6
1926-09,41.4,15.9
1926-10,92.4,9.0
1926-11,47.8,6.2
1926-12,15.4,-2.6
1927-01,23.8,-0.7
1927-02,34.7,0.3
1927-03,59.4,5.6
1927-04,65.2,9.5
1927-05,12.2,15.2
1927-06,78.0,16.1
1927-07,83.3,17.9
1927-08,112.0,16.2
1927-09,77.9,13.3
1927-10,14.0,8.5
1927-11,21.3,4.1
1927-12,39.7,-0.3
1928-01,36.8,0.0
1928-02,84.7,2.5
1928-03,17.7,6.4
1928-04,51.5,9.2
1928-05,37.6,11.7
1928-06,41.3,16.9
1928-07,12.3,21.8
1928-08,63.2,19.3
1928-09,75.4,13.9
1928-10,91.1,8.3
1928-11,108.3,4.4
1928-12,31.3,-1.9
1929-01,5.9,-4.5
1929-02,7.1,-4.1
1929-03,6.6,5.4
1929-04,78.5,6.9
1929-05,25.9,14.3
1929-06,107.4,17.3
1929-07,49.2,19.0
1929-08,66.7,17.4
1929-09,7.4,16.7
1929-10,48.8,9.3
1929-11,28.8,4.3
1929-12,61.0,1.9
1930-01,40.7,2.2
1930-02,11.8,0.9
1930-03,34.4,6.2
1930-04,49.9,9.7
1930-05,68.0,12.1
1930-06,30.2,19.6
1930-07,89.7,16.9
1930-08,55.0,17.3
1930-09,52.4,14.7
1930-10,131.4,7.9
1930-11,110.0,5.4
1930-12,36.6,-0.3
1931-01,74.6,-1.8
1931-02,54.6,-1.7
1931-03,70.4,3.2
1931-04,22.1,8.7
1931-05,20.3,15.5
1931-06,22.9,19.2
1931-07,59.8,17.5
1931-08,107.8,15.2
1931-09,42.1,10.3
1931-10,26.9,8.8
1931-11,42.9,5.0
1931-12,27.9,-2.5
1932-01,41.9,-0.2
1932-02,0.0,-2.8
1932-03,77.3,3.6
1932-04,33.8,7.5
1932-05,93.0,12.6
1932-06,28.6,16.2
1932-07,81.3,17.2
1932-08,29.6,19.6
1932-09,8.4,16.7
1932-10,83.2,8.2
1932-11,4.6,4.0
1932-12,15.6,1.7
1933-01,7.2,-2.5
1933-02,41.1,1.2
1933-03,44.9,5.8
1933-04,12.5,11.1
1933-05,34.8,13.1
1933-06,58.3,14.6
1933-07,53.5,19.4
1933-08,28.7,19.4
1933-09,60.9,15.4
1933-10,48.4,9.7
1933-11,12.0,3.4
1933-12,8.5,-4.9
1934-01,51.4,-2.3
1934-02,0.3,-0.1
1934-03,47.3,4.2
1934-04,38.2,11.8
1934-05,16.4,15.9
1934-06,86.0,17.3
1934-07,37.4,19.7
1934-08,42.4,16.8
1934-09,23.8,15.8
1934-10,35.3,8.2
1934-11,34.0,3.2
1934-12,72.6,2.7
1935-01,28.2,-3.6
1935-02,120.7,1.8
1935-03,24.3,5.2
1935-04,79.7,7.9
1935-05,24.2,12.7
1935-06,25.6,19.0
1935-07,36.4,19.8
1935-08,77.4,16.9
1935-09,64.3,14.8
1935-10,82.8,9.2
1935-11,44.5,4.7
1935-12,139.6,-2.0
1936-01,97.4,3.0
1936-02,62.7,1.6
1936-03,12.5,7.0
1936-04,42.9,8.3
1936-05,25.0,14.6
1936-06,27.9,16.4
1936-07,60.8,17.4
1936-08,27.1,17.4
1936-09,103.7,14.2
1936-10,24.7,5.7
1936-11,50.5,3.2
1936-12,37.0,0.4
1937-01,39.2,1.8
1937-02,132.3,3.2
1937-03,59.2,3.7
1937-04,33.3,9.7
1937-05,41.9,15.3
1937-06,40.1,17.9
1937-07,30.9,19.4
1937-08,43.9,18.3
1937-09,25.3,13.8
1937-10,18.9,10.2
1937-11,23.5,3.3
1937-12,58.2,-2.6
1938-01,73.3,-1.1
1938-02,17.8,-0.4
1938-03,5.3,7.8
1938-04,2.9,7.9
1938-05,22.9,12.5
1938-06,63.7,18.5
1938-07,73.0,18.3
1938-08,66.6,17.9
1938-09,33.7,14.8
1938-10,31.5,9.1
1938-11,45.0,5.3
1938-12,26.5,-0.7
1939-01,63.3,0.2
1939-02,3.2,2.0
1939-03,47.7,2.2
1939-04,18.7,11.1
1939-05,44.3,11.5
1939-06,38.6,17.6
1939-07,44.4,17.5
1939-08,58.5,17.8
1939-09,23.7,13.7
1939-10,84.5,8.2
1939-11,88.5,5.4
1939-12,27.2,-0.6
1940-01,41.2,-4.4
1940-02,77.0,1.4
1940-03,73.7,5.0
1940-04,49.8,9.6
1940-05,33.1,14.0
1940-06,47.2,16.6
1940-07,73.7,17.7
1940-08,27.4,16.9
1940-09,87.9,14.1
1940-10,78.2,8.4
1940-11,63.7,4.1
1940-12,65.5,-6.4
1941-01,43.0,-2.8
1941-02,50.0,1.1
1941-03,20.0,5.8
1941-04,17.6,8.5
1941-05,46.3,10.9
1941-06,36.4,17.5
1941-07,15.2,19.9
1941-08,81.5,16.1
1941-09,6.1,13.8
1941-10,42.3,7.8
1941-11,25.6,2.5
1941-12,17.2,-2.2
1942-01,88.5,-4.5
1942-02,4.6,-3.8
1942-03,15.8,7.0
1942-04,27.4,10.4
1942-05,24.7,14.1
1942-06,35.5,18.0
1942-07,44.1,19.0
1942-08,68.6,18.1
1942-09,42.0,15.9
1942-10,49.6,11.2
1942-11,19.3,1.4
1942-12,26.9,0.7
1943-01,89.1,-0.9
1943-02,29.1,1.7
1943-03,14.5,7.8
1943-04,30.2,10.9
1943-05,32.1,15.4
1943-06,57.3,16.8
1943-07,26.6,19.1
1943-08,28.7,19.8
1943-09,41.1,15.2
1943-10,0.0,11.0
1943-11,70.5,2.2
1943-12,22.0,-0.2
1944-01,39.9,-0.6
1944-02,35.7,-2.4
1944-03,17.7,2.9
1944-04,8.1,11.7
1944-05,8.9,14.7
1944-06,22.1,17.2
1944-07,55.2,18.7
1944-08,63.2,20.5
1944-09,45.8,13.2
1944-10,61.1,7.6
1944-11,257.4,1.6
1944-12,118.1,-3.1
1945-01,54.3,-6.9
1945-02,69.9,2.4
1945-03,10.4,6.7
1945-04,29.9,11.7
1945-05,60.6,15.3
1945-06,23.0,19.1
1945-07,33.1,20.3
1945-08,60.1,17.5
1945-09,53.3,15.0
1945-10,46.8,9.2
1945-11,7.6,2.2
1945-12,71.0,-0.3
1946-01,41.5,-2.0
1946-02,82.6,2.9
1946-03,16.6,6.3
1946-04,4.7,12.4
1946-05,57.4,14.7
1946-06,120.3,15.6
1946-07,55.2,19.3
1946-08,73.4,17.3
1946-09,37.3,14.4
1946-10,17.0,8.5
1946-11,24.5,3.2
1946-12,35.7,-2.1
1947-01,58.8,-3.2
1947-02,22.6,0.4
1947-03,112.1,5.7
1947-04,21.1,12.1
1947-05,30.8,15.8
1947-06,23.7,19.4
1947-07,33.4,20.9
1947-08,22.5,20.7
1947-09,41.9,16.7
1947-10,10.4,9.7
1947-11,84.9,5.5
1947-12,58.9,-0.3
1948-01,90.7,1.9
1948-02,19.6,2.6
1948-03,8.8,9.4
1948-04,31.7,10.5
1948-05,6.4,15.4
1948-06,76.7,16.3
1948-07,41.4,16.5
1948-08,67.5,17.2
1948-09,77.0,13.9
1948-10,22.0,9.2
1948-11,32.8,3.8
1948-12,13.0,-0.5
1949-01,26.4,0.1
1949-02,2.6,1.8
1949-03,14.6,3.4
1949-04,42.6,12.7
1949-05,36.1,12.6
1949-06,35.3,17.7
1949-07,17.8,20.5
1949-08,66.2,19.5
1949-09,57.6,16.9
1949-10,12.4,11.0
1949-11,51.9,3.2
1949-12,43.7,0.6
1950-01,36.2,-0.8
1950-02,111.8,2.8
1950-03,3.5,6.7
1950-04,35.1,8.1
1950-05,26.2,15.7
1950-06,25.2,19.7
1950-07,38.3,21.1
1950-08,71.4,18.3
1950-09,54.9,13.7
1950-10,5.1,8.8
1950-11,174.0,3.4
1950-12,46.2,-2.3
1951-01,67.7,0.4
1951-02,54.7,1.9
1951-03,56.8,4.1
1951-04,35.6,9.5
1951-05,25.7,13.4
1951-06,48.3,16.9
1951-07,49.2,19.3
1951-08,84.5,17.2
1951-09,15.8,15.4
1951-10,15.2,8.7
1951-11,72.1,5.7
1951-12,37.7,0.3
1952-01,63.8,-2.2
1952-02,34.7,-1.5
1952-03,51.3,6.5
1952-04,42.8,11.4
1952-05,17.1,15.4
1952-06,48.7,19.0
1952-07,11.4,21.7
1952-08,88.5,18.3
1952-09,59.5,11.5
1952-10,132.6,8.0
1952-11,147.6,2.4
1952-12,131.9,-0.5
1953-01,5.6,-5.4
1953-02,35.8,-2.1
1953-03,1.4,5.9
1953-04,16.2,10.9
1953-05,29.7,15.8
1953-06,79.7,15.7
1953-07,57.7,18.9
1953-08,31.2,18.2
1953-09,34.1,15.7
1953-10,28.2,10.3
1953-11,12.3,2.7
1953-12,7.0,2.6
1954-01,45.1,-2.7
1954-02,35.8,-0.2
1954-03,26.5,6.8
1954-04,76.3,7.7
1954-05,14.6,13.3
1954-06,46.1,17.7
1954-07,22.1,17.1
1954-08,101.2,16.4
1954-09,105.5,14.1
1954-10,31.5,9.0
1954-11,41.7,4.4
1954-12,131.0,0.9
1955-01,148.5,1.4
1955-02,174.8,0.6
1955-03,28.1,3.6
1955-04,2.6,10.6
1955-05,60.0,13.2
1955-06,39.5,17.1
1955-07,40.2,18.5
1955-08,83.0,17.1
1955-09,14.4,13.8
1955-10,14.7,7.8
1955-11,6.4,2.4
1955-12,71.9,1.7
1956-01,78.6,0.0
1956-02,0.8,-6.5
1956-03,18.9,5.5
1956-04,23.9,7.8
1956-05,61.9,14.8
1956-06,11.7,15.4
1956-07,92.6,17.9
1956-08,117.7,15.8
1956-09,35.3,15.4
1956-10,32.9,7.3
1956-11,13.8,1.7
1956-12,3.8,-0.9
1957-01,5.6,-2.0
1957-02,211.1,3.3
1957-03,14.9,9.0
1957-04,5.6,9.9
1957-05,36.0,11.6
1957-06,75.2,17.0
1957-07,42.2,18.6
1957-08,67.3,16.9
1957-09,39.0,13.6
1957-10,11.7,8.9
1957-11,16.0,3.7
1957-12,54.5,-0.9
1958-01,56.0,-2.0
1958-02,113.7,2.8
1958-03,25.8,2.9
1958-04,9.7,7.5
1958-05,58.6,16.1
1958-06,51.1,16.3
1958-07,57.5,18.7
1958-08,67.5,18.4
1958-09,43.2,16.1
1958-10,47.9,8.1
1958-11,29.8,2.8
1958-12,72.8,0.8
1959-01,81.9,-0.7
1959-02,1.1,3.2
1959-03,14.7,8.6
1959-04,61.6,10.2
1959-05,19.9,14.9
1959-06,58.8,17.9
1959-07,54.8,20.2
1959-08,57.9,18.0
1959-09,19.9,16.2
1959-10,42.0,8.9
1959-11,16.0,3.0
1959-12,119.6,1.2
1960-01,36.9,-0.3
1960-02,77.9,2.7
1960-03,27.3,7.4
1960-04,3.5,10.4
1960-05,48.1,15.8
1960-06,43.9,18.2
1960-07,94.4,16.8
1960-08,80.6,16.7
1960-09,64.0,12.7
1960-10,57.4,8.7
1960-11,65.9,4.9
1960-12,18.1,-0.5
1961-01,72.1,-1.0
1961-02,78.3,4.7
1961-03,7.4,7.1
1961-04,54.3,11.7
1961-05,20.1,13.0
1961-06,40.6,18.1
1961-07,57.3,17.7
1961-08,39.1,17.8
1961-09,31.3,17.8
1961-10,66.7,9.6
1961-11,24.5,3.2
1961-12,118.9,0.7
1962-01,113.4,0.1
1962-02,62.0,0.3
1962-03,65.2,2.6
1962-04,35.8,9.4
1962-05,31.5,12.8
1962-06,29.2,17.5
1962-07,18.5,18.7
1962-08,25.3,19.8
1962-09,17.9,14.8
1962-10,4.6,9.5
1962-11,27.9,2.5
1962-12,105.5,-3.7
1963-01,28.1,-4.9
1963-02,25.2,-2.5
1963-03,104.9,3.7
1963-04,16.0,10.6
1963-05,13.6,13.6
1963-06,74.5,16.9
1963-07,46.4,19.7
1963-08,88.4,16.5
1963-09,13.0,14.5
1963-10,41.3,8.8
1963-11,92.8,5.6
1963-12,2.8,-1.6
1964-01,3.4,-3.5
1964-02,3.5,3.0
1964-03,34.2,4.9
1964-04,44.3,10.5
1964-05,50.4,15.4
1964-06,33.4,18.6
1964-07,33.0,20.5
1964-08,46.8,17.5
1964-09,47.8,14.4
1964-10,68.1,7.3
1964-11,48.6,3.8
1964-12,18.0,-1.6
1965-01,46.5,-0.4
1965-02,3.5,-2.0
1965-03,83.7,5.1
1965-04,29.8,8.2
1965-05,70.1,13.2
1965-06,40.1,17.4
1965-07,126.2,16.9
1965-08,80.4,16.4
1965-09,64.9,12.1
1965-10,0.9,9.2
1965-11,119.4,3.4
1965-12,167.8,0.0
1966-01,55.7,-2.9
1966-02,91.4,5.4
1966-03,35.7,4.3
1966-04,52.1,10.7
1966-05,19.0,14.7
1966-06,17.7,18.5
1966-07,45.1,17.2
1966-08,68.9,16.4
1966-09,13.4,15.9
1966-10,48.1,11.6
1966-11,49.8,2.0
1966-12,92.0,-0.5
1967-01,26.7,-0.8
1967-02,86.6,2.7
1967-03,70.1,6.6
1967-04,8.2,9.0
1967-05,45.6,13.8
1967-06,34.0,16.9
1967-07,48.7,20.7
1967-08,74.2,17.9
1967-09,36.3,14.0
1967-10,30.3,11.4
1967-11,34.4,4.5
1967-12,32.5,-2.7
1968-01,138.8,-2.3
1968-02,28.6,2.1
1968-03,11.8,6.1
1968-04,27.9,11.8
1968-05,21.6,13.8
1968-06,24.2,17.3
1968-07,65.8,19.1
1968-08,73.9,16.0
1968-09,94.3,13.5
1968-10,16.8,11.0
1968-11,90.0,3.8
1968-12,77.4,-0.5
1969-01,20.2,0.1
1969-02,25.8,-0.6
1969-03,17.5,5.8
1969-04,69.6,9.0
1969-05,29.9,14.8
1969-06,67.1,15.3
1969-07,62.1,19.3
1969-08,80.2,17.1
1969-09,39.7,15.3
1969-10,2.6,10.7
1969-11,80.5,3.9
1969-12,30.1,-5.1
1970-01,33.3,0.6
