date,total precipitation (mm),mean seasonal temperature (Â°C)
1915-05-01,213.3,15.7
1916-05-01,210.4,14.8
1917-05-01,246.4,16.7
1918-05-01,271.1,15.8
1919-05-01,124.4,16.4
1920-05-01,220.4,16.5
1921-05-01,150.7,17.6
1922-05-01,283.2,15.6
1923-05-01,177.7,16.0
1924-05-01,246.9,15.4
1925-05-01,203.3,15.6
1926-05-01,276.2,15.4
1927-05-01,363.4,15.8
1928-05-01,229.8,16.7
1929-05-01,256.6,16.9
1930-05-01,295.3,16.1
1931-05-01,252.9,15.6
1932-05-01,240.9,16.5
1933-05-01,236.2,16.4
1934-05-01,206.0,17.1
1935-05-01,227.9,16.6
1936-05-01,244.5,16.0
1937-05-01,182.1,17.0
1938-05-01,259.9,16.4
1939-05-01,209.5,15.6
1940-05-01,269.3,15.9
1941-05-01,185.5,15.6
1942-05-01,214.9,17.0
1943-05-01,185.8,17.3
1944-05-01,195.2,16.9
1945-05-01,230.1,17.4
1946-05-01,343.6,16.3
1947-05-01,152.3,18.7
1948-05-01,269.0,15.9
1949-05-01,213.0,17.4
1950-05-01,216.0,17.7
1951-05-01,223.5,16.4
1952-05-01,225.2,17.2
1953-05-01,232.4,16.9
1954-05-01,289.5,15.7
1955-05-01,237.1,15.9
1956-05-01,319.2,15.9
1957-05-01,259.7,15.5
1958-05-01,277.9,17.1
1959-05-01,211.3,17.4
1960-05-01,331.0,16.0
1961-05-01,188.4,16.9
1962-05-01,122.4,16.7
1963-05-01,235.9,16.2
1964-05-01,211.4,17.3
1965-05-01,381.7,15.2
1966-05-01,164.1,16.5
1967-05-01,238.8,16.7
1968-05-01,279.8,15.9
1969-05-01,279.0,16.4
1970-05-01,200.1,16.9
1971-05-01,260.8,17.0
1972-05-01,134.1,15.4
1973-05-01,267.5,17.1
1974-05-01,328.4,16.0
1975-05-01,192.9,16.7
1976-05-01,170.3,17.0
1977-05-01,199.2,15.6
1978-05-01,226.6,15.0
1979-05-01,197.6,16.0
1980-05-01,254.9,15.4
1981-05-01,211.5,16.3
1982-05-01,218.2,17.1
1983-05-01,260.5,17.1
1984-05-01,222.9,15.5
1985-05-01,320.8,16.5
1986-05-01,257.8,17.1
1987-05-01,289.8,16.4
1988-05-01,183.0,17.2
1989-05-01,158.0,17.5
1990-05-01,341.9,17.4
1991-05-01,199.8,17.6
1992-05-01,227.4,18.0
1993-05-01,297.8,17.6
1994-05-01,345.5,18.0
1995-05-01,302.1,17.0
1996-05-01,229.7,16.7
1997-05-01,310.4,17.5
1998-05-01,198.0,18.0
1999-05-01,373.8,18.1
2000-05-01,198.9,18.1
2001-05-01,284.4,17.4
2002-05-01,309.1,17.4
2003-05-01,221.5,19.9
2004-05-01,219.1,17.8
2005-05-01,256.8,18.1
2006-05-01,236.0,18.5
2007-05-01,473.2,17.3
2008-05-01,231.6,18.1
2009-05-01,184.1,18.8
2010-05-01,281.8,17.6
2011-05-01,223.0,18.3
2012-05-01,251.4,18.4
2013-05-01,233.0,17.6
2014-05-01,259.5,17.5
2015-05-01,275.5,18.9
2016-05-01,206.9,18.5
2017-05-01,242.7,18.9
2018-05-01,190.3,20.0
2019-05-01,266.9,18.8
2020-05-01,249.7,18.6
2021-05-01,376.1,17.6
2022-05-01,194.6,20.2
2023-05-01,231.8,19.9
2024-05-01,279.3,18.5
2025-05-01,245.7,19.0
